Date,Open,High,Low,Close,Adj Close,Volume
2019-04-03,105.809998,106.360001,104.790001,105.349998,103.815018,11499200
2019-04-04,104.550003,105.730003,104.449997,105.559998,104.817924,11952100
2019-04-05,105.800003,106.110001,104.989998,105.309998,104.569679,9933700
2019-04-08,105.110001,105.650002,104.910004,105.650002,104.907295,8056300
2019-04-09,105.080002,105.199997,104.250000,104.870003,104.132774,9092200
2019-04-10,105.129997,105.720001,104.470001,105.339996,104.599464,10882300
2019-04-11,105.709999,106.730003,105.559998,106.230003,105.483215,11183800
2019-04-12,109.440002,111.849998,108.879997,111.209999,110.428207,25834100
2019-04-15,110.919998,111.000000,109.120003,109.940002,109.167137,15163800
2019-04-16,109.900002,111.389999,109.860001,111.099998,110.318977,11583200
2019-04-17,111.699997,114.660004,111.010002,114.300003,113.496483,17791900
2019-04-18,114.529999,114.949997,113.330002,113.459999,112.662384,12501900
2019-04-22,112.830002,113.930000,112.660004,113.599998,112.801399,7975900
2019-04-23,113.000000,114.370003,112.849998,113.739998,112.940414,9193100
2019-04-24,113.260002,114.150002,112.809998,113.550003,112.751762,9245700
2019-04-25,113.010002,114.150002,112.500000,113.610001,112.811333,9311800
2019-04-26,113.949997,114.580002,113.599998,114.470001,113.665291,7889300
2019-04-29,114.599998,117.160004,114.449997,116.120003,115.303688,14242200
2019-04-30,116.430000,116.720001,115.260002,116.050003,115.234184,11389100
2019-05-01,115.720001,117.000000,115.110001,115.160004,114.350441,10412900
2019-05-02,115.169998,115.779999,114.580002,115.410004,114.598686,8613300
2019-05-03,116.000000,116.680000,115.669998,116.120003,115.303688,8185400
2019-05-06,114.180000,115.470001,113.720001,115.089996,114.280930,9387000
2019-05-07,114.029999,114.029999,112.290001,113.209999,112.414146,15017700
2019-05-08,112.660004,113.669998,112.459999,112.610001,111.818367,9575800
2019-05-09,111.139999,112.739998,110.580002,112.519997,111.728996,12205900
2019-05-10,111.750000,112.839996,110.540001,112.510002,111.719070,13189000
2019-05-13,110.080002,110.449997,108.980003,109.449997,108.680573,13783700
2019-05-14,109.550003,111.720001,109.500000,110.320000,109.544464,10503600
2019-05-15,109.209999,110.900002,108.610001,109.900002,109.127419,10142000
2019-05-16,110.620003,112.169998,110.589996,111.309998,110.527504,9672700
2019-05-17,110.000000,111.750000,109.830002,110.769997,109.991295,9570100
2019-05-20,110.580002,111.809998,110.370003,111.349998,110.567223,8518200
2019-05-21,111.440002,111.919998,111.220001,111.730003,110.944557,7967900
2019-05-22,111.400002,111.790001,110.750000,110.820000,110.040947,7918900
2019-05-23,109.639999,109.790001,107.500000,108.639999,107.876274,14558000
2019-05-24,109.519997,109.959999,109.190002,109.709999,108.938751,8537300
2019-05-28,109.199997,109.830002,108.440002,108.519997,107.757111,11665500
2019-05-29,107.449997,108.400002,107.059998,108.220001,107.459229,9966400
2019-05-30,108.650002,109.180000,106.540001,107.059998,106.307381,10367800
2019-05-31,105.559998,106.589996,104.839996,105.959999,105.215111,10952800
2019-06-03,105.800003,106.860001,105.300003,106.459999,105.711594,11680700
2019-06-04,107.849998,109.900002,107.129997,109.739998,108.968536,12858600
2019-06-05,109.860001,110.379997,108.639999,110.129997,109.355797,8340500
2019-06-06,110.150002,110.870003,108.930000,110.370003,109.594116,8726700
2019-06-07,109.699997,110.019997,108.959999,109.160004,108.392624,10618900
2019-06-10,110.750000,111.209999,110.220001,110.339996,109.564316,11380600
2019-06-11,110.820000,111.570000,110.370003,110.680000,109.901932,9847700
2019-06-12,110.699997,110.900002,108.889999,109.269997,108.501839,9670500
2019-06-13,109.459999,110.160004,109.050003,109.540001,108.769943,8406900
2019-06-14,109.570000,110.300003,108.629997,109.820000,109.047974,9077400
2019-06-17,109.699997,110.370003,109.059998,109.220001,108.452194,8128600
2019-06-18,109.010002,111.410004,108.980003,110.709999,109.931717,11057300
2019-06-19,110.820000,111.589996,109.699997,109.910004,109.137352,13126500
2019-06-20,110.879997,111.089996,109.029999,110.190002,109.415382,13638000
2019-06-21,110.190002,111.669998,109.089996,109.440002,108.670654,27089500
2019-06-24,109.279999,109.769997,108.540001,108.660004,107.896133,13039600
2019-06-25,108.680000,108.980003,107.669998,107.760002,107.002464,18660100
2019-06-26,108.300003,109.309998,108.160004,108.480003,107.717400,10324600
2019-06-27,108.839996,109.550003,108.440002,108.839996,108.074860,10906600
2019-06-28,111.040001,112.430000,110.900002,111.800003,111.014061,21634700
2019-07-01,113.230003,114.519997,113.080002,113.680000,112.880844,12762500
2019-07-02,113.510002,114.199997,113.220001,113.800003,113.000000,10174900
2019-07-03,113.339996,113.870003,112.260002,112.820000,112.820000,6849400
2019-07-05,113.510002,114.269997,112.919998,113.489998,113.489998,7929400
2019-07-08,112.959999,113.480003,112.500000,112.870003,112.870003,6917200
2019-07-09,112.279999,113.489998,112.150002,113.349998,113.349998,8947300
2019-07-10,113.370003,113.830002,112.739998,113.019997,113.019997,9242300
2019-07-11,113.370003,114.360001,113.120003,114.099998,114.099998,11595200
2019-07-12,114.129997,115.349998,113.930000,115.300003,115.300003,10783400
2019-07-15,115.540001,115.570000,113.529999,113.900002,113.900002,12946600
2019-07-16,113.480003,115.500000,112.919998,115.120003,115.120003,16945000
2019-07-17,114.430000,114.940002,113.730003,113.989998,113.989998,13120900
2019-07-18,113.930000,115.070000,113.550003,114.669998,114.669998,9400700
2019-07-19,114.889999,115.120003,113.400002,113.540001,113.540001,10402800
2019-07-22,112.910004,114.449997,112.769997,114.269997,114.269997,9061100
2019-07-23,114.879997,116.449997,114.820000,116.360001,116.360001,12752200
2019-07-24,115.580002,116.879997,115.519997,116.830002,116.830002,10011000
2019-07-25,116.889999,117.239998,115.320000,115.709999,115.709999,10138400
2019-07-26,115.769997,116.510002,115.529999,116.220001,116.220001,12800400
2019-07-29,116.459999,117.180000,115.790001,115.849998,115.849998,8500400
2019-07-30,115.190002,116.080002,114.760002,115.589996,115.589996,7121100
2019-07-31,116.099998,116.180000,114.860001,116.000000,116.000000,13648000
2019-08-01,115.330002,116.800003,112.599998,112.940002,112.940002,15664500
2019-08-02,112.400002,113.430000,111.400002,112.930000,112.930000,11025500
2019-08-05,110.790001,110.980003,108.269997,109.570000,109.570000,15855300
2019-08-06,110.050003,110.500000,108.339996,110.430000,110.430000,10203500
2019-08-07,108.000000,108.279999,105.940002,108.029999,108.029999,17320900
2019-08-08,109.050003,110.080002,108.720001,109.860001,109.860001,10903300
2019-08-09,109.349998,110.449997,108.290001,109.739998,109.739998,9980800
2019-08-12,108.440002,108.510002,107.209999,107.680000,107.680000,8437200
2019-08-13,107.949997,110.324997,107.080002,109.339996,109.339996,12236560
